"","V1","minusATR1","minusATR2","minusATR3","minusATR4","minusATR5","plusATR1","plusATR2","plusATR3","plusATR4","plusATR5","pval","qval","log2_b"
"9589","Kaz","36.3188295375708","33.6061797549583","33.153327840869","31.8863105173008","31.726655330763","25.217282974591","23.4314422409009","24.7922195441431","29.8378895181007","28.4512583939217",0.00572673730593687,0.0617821680987906,-0.348088104552104
"9947","M1BP","20.3346259383993","26.0437906288683","23.4176667049447","16.635986228579","22.6957918096195","13.9252603034044","18.6902341170761","18.6609734947678","20.9581499164666","13.9481465835928",0.0329482344063217,0.177931935592395,-0.348429688422988
"1412","CG11626","0.969956242388863","0.637206840811883","1.39864254971651","1.75192398917694","0.815252721466482","0.858877582310153","1.0117171381434","1.06031389711337","0.403713535107481","0.894751054596538",0.595804476201878,0.819266227853529,-0.348439594007026
"12699","slou","5.237224997579","3.14207910728738","3.93697390010195","3.83534754840359","3.84542881302745","2.25786687336815","3.32623572717448","2.78951940205543","3.17932267051535","4.25088645061249",0.092309159134891,0.323916894328636,-0.348474260271971
"12816","Sou","45.3192006726984","41.5709873162798","46.0839892714641","35.5747845187587","39.0460716247214","31.7780040509672","30.5124205197417","30.9422490080453","32.351409524953","37.5953629778913",0.0018269533387253,0.0292414977943242,-0.34903907453419
"9823","levy","1302.46472608058","1808.18487315416","1240.91627683437","1112.75170198229","1326.11230279261","1025.68923725125","1095.74742785891","991.631889831555","1145.22178570167","1081.73054182907",0.00512396441265621,0.0575069724990673,-0.349343911919805
"6202","CG6674","17.9643962807896","25.0054360783289","26.0856493765745","19.1841722450296","21.2329353641058","16.8778434231597","17.0071185804454","15.9500861288529","17.9626005947366","17.8043019872627",0.0518885775692341,0.23238130589525,-0.349392413832556
"6756","CG9004","6.92049836237568","5.05510568317024","6.5923008204455","6.17027444300027","4.66878347904044","3.73311710003452","3.93164199322745","5.20103906965155","3.65339663414233","7.07415579008154",0.0992165741036356,0.338126247018455,-0.349596281665351
"6439","CG7607","322.023848449072","518.909675521189","408.199134750969","371.205327430411","343.218081679365","295.356476774157","320.415323740625","301.571834633197","317.024796859811","301.633724726489",0.00416782224077898,0.0504704690711401,-0.349829591818565
"8672","Gem4b","1.18058266025338","0.812471885738471","0.915327929464425","0.940269086356393","0.567678560354124","1.64510696013903","0.344786522236544","1.04933089744594","0.860355534369161","0.235716808587656",0.653765890086663,0.847728625175804,-0.349945549547738
"10791","Non1","217.163413895457","174.40876405169","201.327572106378","235.585006147948","183.638233797753","131.696918112214","139.810218573232","180.61180859692","167.030754320376","178.924764265077",0.00432453158009236,0.0515796702639372,-0.350108412349508
"1223","CG10907","8.41861099449579","10.0122689897828","9.36540610313899","7.56649681322124","10.5537740180091","6.59098984847207","6.77133185169291","6.05741569754504","8.77219309631167","7.93511455622637",0.0708470626685883,0.277720485660866,-0.350225914820725
"3749","CG31249","16.4732560974459","20.6094843345311","17.3751970374186","14.3737888595176","18.4324842123335","15.6841501996287","12.541985024273","11.4029452924946","14.2631646176334","14.7437517151852",0.0323312180072782,0.175322623147283,-0.350457909156781
"8760","Golgin104","12.1633993090189","9.97452974800032","11.1255378756251","12.7117031719774","13.0078403217128","8.60816702730976","9.44842522686108","8.23643682727215","8.87420600441591","11.2017954661976",0.0168702338690358,0.119233043240933,-0.350534779553924
"11242","Pcd","87.6141614408539","113.359534442916","100.537674336166","100.902710477272","100.537044517871","64.4385649117274","78.7088021433248","75.1664415496016","83.8367818259152","98.4426747946193",0.00181273812633136,0.0292065908964506,-0.35057073395998
"10576","Nasp","31.7027144288913","23.1887475495137","27.3483082800786","23.9332322007059","26.9739184044354","20.1352064954512","16.1389523935031","17.8046405386305","22.9807122734095","29.2633303351782",0.0383822033140409,0.194196870450046,-0.350721042949986
"12808","Son","9.85751142563461","5.89388234009306","9.40814117574134","8.70114318277851","9.09263661743019","6.44031406940304","5.43435540970137","5.96839404249407","8.41384421286518","7.31314197754182",0.0407327760684404,0.201191287098551,-0.350847171486813
"8881","Grx3","85.3790799457923","102.109481788932","87.4136249922881","86.6319749932341","80.3384612778875","56.2630084227977","68.2859851101777","68.8674389198811","82.5799079043635","74.6848617264086",0.00198838601723833,0.0308724738711349,-0.350996894730738
"786","btz","27.0798499216712","17.2738172670125","23.587091210288","26.1221486288001","25.8042237897446","16.1069730567731","17.9589617079633","18.49063373644","16.865609899255","24.615693599833",0.0269391447662403,0.158239981785492,-0.351084570050629
"10638","Ndc1","7.76754567395923","6.08617995376129","6.54138043636194","5.31063488296438","7.91256514434276","4.91039640488909","4.73316253246033","5.09865079862521","5.50591744333547","5.89570869438551",0.107705646397795,0.352395429717549,-0.351331473142279
"9485","Irk2","115.428830486291","111.598009193649","112.949866200921","115.254942085423","116.161733325145","93.8191817797515","94.8771500414922","79.6301221527081","91.8973527311503","89.9814032518983",0.000967661499681803,0.018803807526291,-0.351440507462029
"10860","Nsun5","11.4916317941937","11.5021208356263","9.61742991179747","12.5558041139568","10.0035314341201","8.00898393786125","8.7850783222724","7.30404657064357","8.17206797214833","11.3305838046973",0.0666481349115945,0.268229115355469,-0.351499493282385
"8713","glob1","99.4247586391907","183.655603514752","115.447127585865","110.718589089483","86.6461961266123","79.3727627504441","70.8852176159261","148.424968041342","78.0172886932797","94.5547420936117",0.183995646008148,0.47030454717759,-0.351523623788431
"1096","CG10352","16.1770121641713","25.208021604795","17.9380033352014","13.1073575994731","19.2854815806368","16.6684520173245","16.9265599228354","15.4721385412996","10.0737230883275","12.5719792513805",0.0938285333447665,0.326835484783932,-0.35215309474399
"5929","CG5412","22.1073284349919","20.701514853253","15.9336943923544","16.2826597343668","21.5477901340429","15.2469231066026","12.8911837696662","16.1424228851756","12.5918465564941","19.2648551090389",0.0330913554981618,0.178426786934502,-0.35251673898275
"12197","Rpn10","73.1277919421317","62.8082849732019","71.0934111897155","68.724564868349","64.2469936262866","48.9084832972497","54.1686517526575","53.8113365767707","51.1088648123385","59.5370740781739",0.000838894836402975,0.017112734581216,-0.35251818539859
"12364","Sas-6","4.05562049330522","3.13769805355006","2.70751615348798","3.59706642408831","4.17870605370182","3.3238408662393","2.84655168053601","2.60992251722871","1.99040442221806","3.03582688763495",0.205793962455778,0.495762140675272,-0.35285684109272
