"","logFC","logCPM","F","PValue","FDR","flag"
"FBgn0036821",0.457436721831137,7.87412082349658,31.3793224542123,0.000117959888791878,0.0073563575699704,"NotSig"
"FBgn0260965",0.634811490203065,5.19737323424479,31.3667993988126,0.000118177987293884,0.0073563575699704,"UP"
"FBgn0033268",-0.676817771134008,9.04484942821509,31.1237098838346,0.0001223158928216,0.00755711400500018,"DOWN"
"FBgn0024734",0.809693368429867,4.92940995300913,30.7978250762507,0.000128159613932355,0.00777643514822122,"UP"
"FBgn0025878",-0.42406784165111,6.21781722774623,30.7878288400293,0.000128329345799679,0.00777643514822122,"NotSig"
"FBgn0032223",0.4213164178864,6.20110992799155,30.7686170913765,0.000128683610980349,0.00777643514822122,"NotSig"
"FBgn0040370",0.573943895742028,6.3464003830775,30.63018860875,0.000131270169758244,0.00787525895238044,"NotSig"
"FBgn0004838",0.522263485322474,9.03602224911371,30.3689480723139,0.000136318676427807,0.00811929728162457,"NotSig"
"FBgn0032202",-0.564685745879787,5.56652769239341,30.2088537903784,0.000139530189920082,0.00825121744534543,"NotSig"
"FBgn0263112",0.565742815025174,6.03572582036766,30.1437802300127,0.000140853857652124,0.00827041906029742,"NotSig"
"FBgn0260995",0.501190510797089,6.25828230370449,29.9804042347061,0.000144254420430358,0.0084049505760963,"NotSig"
"FBgn0085432",0.566384690561926,8.73473299620773,29.9369081468804,0.000145175496120518,0.0084049505760963,"NotSig"
"FBgn0053970",0.563398025071172,6.958851856751,29.7772504483425,0.000148617632698369,0.00852422096416372,"NotSig"
"FBgn0264908",0.5883029564746,6.70298590719091,29.7463498963906,0.000149294847180063,0.00852422096416372,"UP"
"FBgn0030584",-0.483367379899245,5.47386164539962,29.5878004485562,0.000152832036118621,0.00866641388374015,"NotSig"
"FBgn0046692",1.04004279322091,5.24496541461157,29.5232574671486,0.000154305512221218,0.0086904444604045,"UP"
"FBgn0028422",0.86488158207547,3.14012455447008,29.474402911281,0.00015553857482805,0.00870070176352315,"UP"
"FBgn0000448",0.916202338659172,4.90646308112118,29.2891498968337,0.000159764953119046,0.00882711963241675,"UP"
"FBgn0260446",0.489828830193554,6.86277738741125,29.2814410493926,0.000159930902870215,0.00882711963241675,"NotSig"
"FBgn0024921",0.44525568545329,6.83649752178796,28.9721736702596,0.000167497587042854,0.00909244296518264,"NotSig"
"FBgn0053217",1.59948135317159,2.37048348812075,28.9960344339131,0.000167497838016817,0.00909244296518264,"UP"
"FBgn0085736",0.778299793192139,3.29112364522966,28.9553812431433,0.000168032826871958,0.00909244296518264,"UP"
"FBgn0031948",0.590911101001342,6.60235258768613,28.8767584732984,0.000169916084631182,0.0091346445757244,"UP"
"FBgn0039689",-0.502239660148757,4.91075066445687,28.6085108308163,0.000176957501636654,0.00945181390999907,"NotSig"
"FBgn0051523",0.5441365753755,8.08068922040316,28.5098006871619,0.000179605098273154,0.00953173467053487,"NotSig"
"FBgn0032997",0.575873005291495,6.19717613734306,28.411722220169,0.000182303772810823,0.0096133307968204,"NotSig"
"FBgn0037788",-0.607414045630577,6.93913202559415,28.2469664454121,0.000186943215898251,0.00977209455021403,"DOWN"
"FBgn0261999",0.48539653426875,6.48734695234647,28.1946928596078,0.00018844425848215,0.00977209455021403,"NotSig"
"FBgn0000447",-0.481177307111133,4.65051223286933,28.1597763844029,0.000189480488510727,0.00977209455021403,"NotSig"
"FBgn0011582",0.789404261215727,6.76489963267503,28.1397838594995,0.000190035900783242,0.00977209455021403,"UP"
"FBgn0004395",0.463041463013778,6.29416241276381,28.0521412199691,0.000192609423634045,0.00984329270534727,"NotSig"
"FBgn0031216",0.477550387608668,7.85870818154962,27.9763920817273,0.000194865932670808,0.00986716922384725,"NotSig"
"FBgn0264270",0.530797380472949,8.55323780007955,27.9417586745492,0.000195908099699584,0.00986716922384725,"NotSig"
"FBgn0035400",0.546686354848914,8.64834000793855,27.9171655129802,0.000196652122470684,0.00986716922384725,"NotSig"
"FBgn0267429",0.819099535544819,7.68352964832132,27.7955716204101,0.000200379714981909,0.00989831838926182,"UP"
"FBgn0036116",-0.481683053165596,7.36948116950487,27.7845845942047,0.000200720608716743,0.00989831838926182,"NotSig"
"FBgn0087005",-0.401760534399994,9.74607919356397,27.7572648001858,0.00020157100954975,0.00989831838926182,"NotSig"
"FBgn0025800",0.456992771776625,7.49574445253716,27.6993586505187,0.000203387804953964,0.00989831838926182,"NotSig"
"FBgn0263029",0.8645175212609,5.73929746384823,27.6811770814545,0.000203963472009351,0.00989831838926182,"UP"
"FBgn0262116",0.698744447493267,6.66193526969586,27.66590014545,0.000204446484426111,0.00989831838926182,"UP"
"FBgn0260499",0.536822938807309,10.0728287877629,27.6208191447425,0.000205882415605619,0.00990988673720303,"NotSig"
"FBgn0040005",0.912236226456947,6.72550533377237,27.5175847306095,0.000209216521910059,0.0100121594502507,"UP"
"FBgn0030421",0.654415620015741,6.4697634689294,27.4287453306709,0.000212136107214614,0.0100741946577922,"UP"
"FBgn0029174",-0.428155442497383,6.50102213651864,27.3457176173036,0.000214907696287323,0.0100741946577922,"NotSig"
"FBgn0000455",-0.471039291159363,5.17596154024373,27.3356642810369,0.000215254310587843,0.0100741946577922,"NotSig"
"FBgn0002566",0.503119193947202,6.95669814214614,27.3258873552989,0.000215575732014384,0.0100741946577922,"NotSig"
"FBgn0051522",0.510318123028038,8.14454767804363,27.2957129110074,0.000216597010398237,0.0100741946577922,"NotSig"
"FBgn0039932",0.597216575702658,3.92618219265643,27.2152653914511,0.000219413938497339,0.0101482010995501,"UP"
"FBgn0036643",-0.710181051863027,4.60144518820708,27.1030982021936,0.000223288965657652,0.0102636790931772,"DOWN"
"FBgn0261871",0.403983024991496,5.39155157000389,27.0709837701053,0.000224390133574715,0.0102636790931772,"NotSig"
"FBgn0030552",-0.510902013884942,5.0462934023878,27.0060529240251,0.000226711551070487,0.0103047321505742,"NotSig"
"FBgn0038868",-0.554038091452045,5.07918772818236,26.9763740244952,0.000227777024224554,0.0103047321505742,"NotSig"
"FBgn0031214",1.12018755946585,2.48448828224618,26.9268900154824,0.000230005647319325,0.0103490040986777,"UP"
"FBgn0034438",0.504715800658746,5.57384602467023,26.8389350787855,0.000232774384189959,0.0104169682524793,"NotSig"
"FBgn0039993",0.444774435417571,7.90317122639997,26.7065439634732,0.000237722291513227,0.0105811981260108,"NotSig"
"FBgn0026061",0.370646360067628,6.45279352750492,26.6160374942205,0.000241177196113978,0.0106526546653806,"NotSig"
"FBgn0011260",0.419737388721552,6.09225780561424,26.5972723923081,0.000241901084320757,0.0106526546653806,"NotSig"
"FBgn0270928",0.542290020523891,7.76244982949446,26.4297995473993,0.000248471578715797,0.010884106879302,"NotSig"
"FBgn0037899",-0.567571126887917,7.2765281471096,26.2525681365466,0.000255654309543567,0.0111398001511115,"NotSig"
"FBgn0039188",-0.493654658910115,4.4891423849947,26.1578894643399,0.000259632480928519,0.0112539126157445,"NotSig"
"FBgn0003386",0.507856427624006,7.53478663111472,26.09759253953,0.000262134551534364,0.0113031872507969,"NotSig"
"FBgn0039916",0.739208057069749,7.0213807335529,25.7858420904314,0.000275761569618914,0.0117198460593211,"UP"
"FBgn0011817",0.546666008868974,6.62900187844254,25.7822200434938,0.000275924856913851,0.0117198460593211,"NotSig"
"FBgn0027932",-0.419162156827153,7.30453445191256,25.738681781969,0.000277894230820061,0.0117198460593211,"NotSig"
"FBgn0262738",0.594910746134395,10.8624184631571,25.7289043218894,0.000278338650356422,0.0117198460593211,"UP"
"FBgn0085385",0.697995520903605,6.43359658516604,25.7142911591706,0.000279005296793746,0.0117198460593211,"UP"
"FBgn0010247",0.747575222850516,5.54318518910746,25.6864659845425,0.000280291039949943,0.0117198460593211,"UP"
"FBgn0036935",0.519672134872606,8.01613076067251,25.6256611252394,0.000283084351393017,0.011731721036148,"NotSig"
"FBgn0028965",-0.496738539996819,4.31495327682784,25.6198385748553,0.00028340913241087,0.011731721036148,"NotSig"
"FBgn0058298",1.20931183699016,2.87879908824721,25.5557141975246,0.000286693705168074,0.0117951700334617,"UP"
"FBgn0039380",0.518942667847123,5.92787346180018,25.5252633253917,0.000287791321024189,0.0117951700334617,"NotSig"
"FBgn0036770",0.485341905719888,5.20805378851817,25.3859016274558,0.00029448926840342,0.0120102298182853,"NotSig"
"FBgn0034654",-0.454444511846419,6.84693366422545,25.282078538968,0.000299573209110594,0.0120788349635107,"NotSig"
"FBgn0026879",-0.699778009679937,5.26206666938963,25.2630532241296,0.000300529269417106,0.0120788349635107,"DOWN"
"FBgn0034534",-0.578276680749843,5.60699518483159,25.2625645595825,0.000300548375707598,0.0120788349635107,"NotSig"
"FBgn0001122",0.430373965295219,8.79824788641722,25.2090704279228,0.000303219738771921,0.0120893404497205,"NotSig"
"FBgn0041605",0.571215111986943,11.1993701854949,25.1989315956541,0.000303730258913138,0.0120893404497205,"NotSig"
"FBgn0015268",-0.4488789082255,7.97901929870402,25.1655444904426,0.00030541866011734,0.0120983784072318,"NotSig"
"FBgn0030085",-1.04500382323019,2.63772601824565,25.1427106634419,0.000307016357684985,0.0121037544060666,"DOWN"
"FBgn0033437",-0.67551273217787,4.83877704088518,24.9653447833862,0.000315813546101361,0.0123480587470858,"DOWN"
"FBgn0021825",-0.389062436343442,5.89071301619833,24.9574032795065,0.0003161962138401,0.0123480587470858,"NotSig"
"FBgn0259098",0.876901197803645,3.56018903543562,24.8143815493729,0.000323992797835904,0.0125931285130679,"UP"
"FBgn0266848",0.389316369941348,5.5630198313108,24.6629281640878,0.000332212343170976,0.0128522709771613,"NotSig"
"FBgn0028875",0.609539811407917,8.11868619959308,24.584736063919,0.000336620939245518,0.0129622546791332,"UP"
"FBgn0020369",-0.401920705477555,6.17965947350983,24.556813257243,0.000338213444718369,0.0129632829112193,"NotSig"
"FBgn0000044",0.457336694023107,10.9702614823576,24.4092779603387,0.000346769829141653,0.0132299880896947,"NotSig"
"FBgn0038839",0.447217348528872,8.01012812464738,24.3545912499207,0.000350005974869766,0.013292199385077,"NotSig"
"FBgn0085407",0.481207379887593,6.83946674878571,24.3123845912343,0.000352528021887112,0.0133268470009288,"NotSig"
"FBgn0037878",-0.527602866415911,4.47178350263148,24.2587402420818,0.000355821502198981,0.0133640709734161,"NotSig"
"FBgn0016930",0.478620294948203,7.84527989020638,24.1909866461828,0.000359900234326284,0.0133640709734161,"NotSig"
"FBgn0264307",0.635817910279309,6.46465897810835,24.1625802686844,0.000361651913584628,0.0133640709734161,"UP"
"FBgn0033179",-0.431309631526867,5.87096931216091,24.1463614141244,0.000362656965267466,0.0133640709734161,"NotSig"
"FBgn0033341",-0.601967813478315,4.59329044938389,24.1401846902633,0.000363087705609173,0.0133640709734161,"DOWN"
"FBgn0037566",-0.384448257519722,4.85655893749763,24.1382164338655,0.000363197967027252,0.0133640709734161,"NotSig"
"FBgn0023407",0.556811022416024,7.53104046039253,24.1116712870057,0.000364814546350594,0.0133641576514892,"NotSig"
"FBgn0004648",0.393144781036445,8.55981096666445,24.0517101263214,0.000368581654346948,0.013442676283429,"NotSig"
"FBgn0031734",0.504378153877082,6.53327721520352,23.9597540969363,0.000374448415799404,0.0135438773868809,"NotSig"
"FBgn0262631",1.3122194394381,2.4979805036411,23.9684509527278,0.000374628327285388,0.0135438773868809,"UP"
"FBgn0038049",-0.468371916659688,5.03774553517739,23.8904132346832,0.000378962256942922,0.0136409935879585,"NotSig"
"FBgn0033117",-0.532462124440319,3.69075089402805,23.8140327164228,0.000384097221165698,0.0137509557961811,"NotSig"
"FBgn0025634",-0.581519721830644,3.96579866743496,23.757892541587,0.00038780683863454,0.0137509557961811,"DOWN"
"FBgn0038834",-0.576913918429671,9.3539317426243,23.7468938360157,0.000388450837953551,0.0137509557961811,"NotSig"
"FBgn0267033",0.610196267200941,7.21911242472363,23.7389695822928,0.000388984096906043,0.0137509557961811,"UP"
"FBgn0051663",-0.482616404330643,6.04925396084847,23.7000790038779,0.000391613444532313,0.0137509557961811,"NotSig"
"FBgn0030237",-0.540498771550581,7.98890043938965,23.6912342957746,0.000392212903165222,0.0137509557961811,"NotSig"
"FBgn0035110",-0.541246065940311,4.60340085790353,23.6710528454239,0.000393643740028375,0.0137509557961811,"NotSig"
"FBgn0010435",0.435295559278154,7.73110399419608,23.6399870037962,0.000395714436150417,0.0137549814275151,"NotSig"
"FBgn0039908",0.438958661880094,9.38286212139633,23.6201161444535,0.000397081840944089,0.0137549814275151,"NotSig"
