FBgn,logFC_edgeR,qval_edgeR,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0010504,0.00717675405729107,0.982394262143529,-0.0197126926733694,1,FALSE,FALSE,FALSE,ns_both,-0.026889446730660467,0.026889446730660467
FBgn0039269,0.00840295290871077,0.959610174424922,-0.0179999436616788,1,FALSE,FALSE,FALSE,ns_both,-0.02640289657038957,0.02640289657038957
FBgn0033266,0.0150992958662294,0.938771936470215,-0.0112325031623571,1,FALSE,FALSE,FALSE,ns_both,-0.026331799028586497,0.026331799028586497
FBgn0035480,0.0260028253643437,0.901263984039544,-3.77345485179228e-5,1,FALSE,FALSE,FALSE,ns_both,-0.026040559912861624,0.026040559912861624
FBgn0017551,0.0163236610374389,0.947760201090714,-0.00940155036780894,1,FALSE,FALSE,FALSE,ns_both,-0.02572521140524784,0.02572521140524784
FBgn0028418,0.0140714599468462,0.975313499449612,-0.0116527059828615,1,FALSE,FALSE,FALSE,ns_both,-0.0257241659297077,0.0257241659297077
FBgn0085284,0.019540727704611,0.957469647856065,-0.00594516593045448,1,FALSE,FALSE,FALSE,ns_both,-0.02548589363506548,0.02548589363506548
FBgn0037301,0.00126182479121407,0.995025783119345,-0.0239125281122263,1,FALSE,FALSE,FALSE,ns_both,-0.02517435290344037,0.02517435290344037
FBgn0005677,0.0243894180775988,0.930351263645899,-7.25295632273024e-4,1,FALSE,FALSE,FALSE,ns_both,-0.02511471370987182,0.02511471370987182
FBgn0024245,0.0143140039425571,0.95181783932301,-0.0105839567221836,1,FALSE,FALSE,FALSE,ns_both,-0.0248979606647407,0.0248979606647407
FBgn0033129,0.0111315333660306,0.976395501569482,-0.0137174054832258,1,FALSE,FALSE,FALSE,ns_both,-0.024848938849256402,0.024848938849256402
FBgn0032752,0.00396042574464686,0.983949889083263,-0.020873736059827,1,FALSE,FALSE,FALSE,ns_both,-0.024834161804473863,0.024834161804473863
FBgn0035049,0.00395779672791176,0.988570568432852,-0.0203237267478677,1,FALSE,FALSE,FALSE,ns_both,-0.024281523475779457,0.024281523475779457
FBgn0032166,0.0186777396741114,0.919950622481313,-0.00519280552664862,1,FALSE,FALSE,FALSE,ns_both,-0.02387054520076002,0.02387054520076002
FBgn0050104,0.0171906753927723,0.93770462231874,-0.00661252343951571,1,FALSE,FALSE,FALSE,ns_both,-0.02380319883228801,0.02380319883228801
FBgn0033185,7.311894210731e-4,0.997446248920654,-0.0219998404461971,1,FALSE,FALSE,FALSE,ns_both,-0.0227310298672702,0.0227310298672702
FBgn0039681,0.00176304174646676,0.99288186961626,-0.0208804513805675,1,FALSE,FALSE,FALSE,ns_both,-0.02264349312703426,0.02264349312703426
FBgn0026722,0.0114685650163547,0.964536046550337,-0.0104554185058944,1,FALSE,FALSE,FALSE,ns_both,-0.0219239835222491,0.0219239835222491
FBgn0030695,0.0174446186015005,0.934251320774079,-0.00447854684294774,1,FALSE,FALSE,FALSE,ns_both,-0.02192316544444824,0.02192316544444824
FBgn0002789,0.0183915839413668,0.956333644349567,-0.0032568643009808,1,FALSE,FALSE,FALSE,ns_both,-0.0216484482423476,0.0216484482423476
FBgn0003567,0.00795586623676387,0.958120143096959,-0.0135269950831278,1,FALSE,FALSE,FALSE,ns_both,-0.021482861319891668,0.021482861319891668
FBgn0040606,0.0146425632685093,0.988570568432852,-0.00667731464706055,1,FALSE,FALSE,FALSE,ns_both,-0.02131987791556985,0.02131987791556985
FBgn0052380,0.0202554203413725,0.896148113077815,-9.93133146354888e-4,1,FALSE,FALSE,FALSE,ns_both,-0.021248553487727386,0.021248553487727386
FBgn0030367,0.00463012131361088,0.976797622872169,-0.0165912274044345,1,FALSE,FALSE,FALSE,ns_both,-0.02122134871804538,0.02122134871804538
FBgn0031229,0.00644279906302597,0.971545533720632,-0.0147532682740113,1,FALSE,FALSE,FALSE,ns_both,-0.02119606733703727,0.02119606733703727
FBgn0013765,0.00689811336492194,0.970369434898427,-0.0139905156074217,1,FALSE,FALSE,FALSE,ns_both,-0.02088862897234364,0.02088862897234364
FBgn0086370,0.0117848584650934,0.92910893818174,-0.00907949451575859,1,FALSE,FALSE,FALSE,ns_both,-0.020864352980851993,0.020864352980851993
FBgn0030100,0.00126412193831182,0.995286160809323,-0.0195299225549582,1,FALSE,FALSE,FALSE,ns_both,-0.02079404449327002,0.02079404449327002
FBgn0027779,0.0147898691463474,0.924196144330846,-0.0058038538963532,1,FALSE,FALSE,FALSE,ns_both,-0.0205937230427006,0.0205937230427006
FBgn0034484,0.0158254921483579,0.966654071595406,-0.00476632458755375,1,FALSE,FALSE,FALSE,ns_both,-0.02059181673591165,0.02059181673591165
FBgn0039004,0.0161914699908083,0.956333644349567,-0.00418931901221279,1,FALSE,FALSE,FALSE,ns_both,-0.02038078900302109,0.02038078900302109
FBgn0033199,0.0171394906098788,0.928490199285846,-0.00309974681788068,1,FALSE,FALSE,FALSE,ns_both,-0.02023923742775948,0.02023923742775948
FBgn0001491,0.0130048955807396,0.971545533720632,-0.00716622890942586,1,FALSE,FALSE,FALSE,ns_both,-0.02017112449016546,0.02017112449016546
FBgn0027491,0.014049062700956,0.925690225126922,-0.00607776331335197,1,FALSE,FALSE,FALSE,ns_both,-0.02012682601430797,0.02012682601430797
FBgn0039048,2.6118321399822e-4,0.998833000974303,-0.0198006167450601,1,FALSE,FALSE,FALSE,ns_both,-0.02006179995905832,0.02006179995905832
FBgn0031528,0.00343620677525189,0.982832812177774,-0.016526856772513,1,FALSE,FALSE,FALSE,ns_both,-0.019963063547764892,0.019963063547764892
FBgn0031566,0.0165963312262317,0.922432592637847,-0.00328310447813595,1,FALSE,FALSE,FALSE,ns_both,-0.01987943570436765,0.01987943570436765
FBgn0011742,0.0132715733827113,0.925690225126922,-0.00639690981397948,1,FALSE,FALSE,FALSE,ns_both,-0.019668483196690782,0.019668483196690782
FBgn0002780,0.0179664148421134,0.924628589371734,-0.00166338728911016,1,FALSE,FALSE,FALSE,ns_both,-0.01962980213122356,0.01962980213122356
FBgn0051075,0.0116756009355352,0.970671353012384,-0.00785836355142755,1,FALSE,FALSE,FALSE,ns_both,-0.01953396448696275,0.01953396448696275
FBgn0039178,0.010933753236566,0.958931197319913,-0.00858486712426036,1,FALSE,FALSE,FALSE,ns_both,-0.019518620360826362,0.019518620360826362
FBgn0041164,0.0167605097664793,0.953904503011641,-0.00273974012000719,1,FALSE,FALSE,FALSE,ns_both,-0.01950024988648649,0.01950024988648649
FBgn0013751,0.00707828312517937,0.984496937841043,-0.0123752420602865,1,FALSE,FALSE,FALSE,ns_both,-0.01945352518546587,0.01945352518546587
FBgn0032008,0.00143613953738661,0.996488551717819,-0.0179332912292867,1,FALSE,FALSE,FALSE,ns_both,-0.01936943076667331,0.01936943076667331
FBgn0027356,0.0110239816719363,0.948217096549301,-0.0081873403031481,1,FALSE,FALSE,FALSE,ns_both,-0.0192113219750844,0.0192113219750844
FBgn0039789,0.0149157127889903,0.933854643130907,-0.00428160528211702,1,FALSE,FALSE,FALSE,ns_both,-0.01919731807110732,0.01919731807110732
FBgn0001197,0.00172196290525957,0.990947811799052,-0.0174655238729543,1,FALSE,FALSE,FALSE,ns_both,-0.01918748677821387,0.01918748677821387
FBgn0037670,2.16483839977392e-5,0.99996926244025,-0.0189884944347057,1,FALSE,FALSE,FALSE,ns_both,-0.01901014281870344,0.01901014281870344
FBgn0039016,9.9693843474706e-4,0.997446248920654,-0.0179973309419302,1,FALSE,FALSE,FALSE,ns_both,-0.01899426937667726,0.01899426937667726
FBgn0022702,0.0100486879449603,0.97579279972015,-0.00891870162204021,1,FALSE,FALSE,FALSE,ns_both,-0.01896738956700051,0.01896738956700051
FBgn0037513,0.0110955482354865,0.959610174424922,-0.0078395437355914,1,FALSE,FALSE,FALSE,ns_both,-0.0189350919710779,0.0189350919710779
FBgn0250753,0.0179256553963021,0.917405099245831,-7.00666302629087e-4,1,FALSE,FALSE,FALSE,ns_both,-0.01862632169893119,0.01862632169893119
FBgn0010356,0.00547174770277083,0.983521406417765,-0.0128689030471462,1,FALSE,FALSE,FALSE,ns_both,-0.01834065074991703,0.01834065074991703
FBgn0017572,0.0115273134396119,0.943032191098586,-0.00665582837229702,1,FALSE,FALSE,FALSE,ns_both,-0.018183141811908922,0.018183141811908922
FBgn0259209,0.00830321185216702,0.97490588160799,-0.0095661542825768,1,FALSE,FALSE,FALSE,ns_both,-0.01786936613474382,0.01786936613474382
FBgn0001248,0.0173040497911507,0.914878610292367,-3.33564335057861e-4,1,FALSE,FALSE,FALSE,ns_both,-0.01763761412620856,0.01763761412620856
FBgn0086687,0.00245947560970536,0.996355062224234,-0.0150587106306997,1,FALSE,FALSE,FALSE,ns_both,-0.017518186240405062,0.017518186240405062
FBgn0028429,0.0163554901017644,0.931545276274851,-0.0011375667314738,1,FALSE,FALSE,FALSE,ns_both,-0.0174930568332382,0.0174930568332382
