FBgn,logFC_Tutorial,qval_Tutorial,logFC_Published,qval_Published,direction_agree,sig_A,sig_B,category,delta_logFC,abs_delta
FBgn0025627,0.720327810056307,0.47219233679271,-0.363723842073457,1,FALSE,FALSE,FALSE,ns_both,-1.084051652129764,1.084051652129764
FBgn0085460,1.07339643520426,0.0292272736218974,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,-1.07339643520426,1.07339643520426
FBgn0035159,0.890905563141946,0.787220223680335,-0.16498973875891,0.899727492133416,FALSE,FALSE,FALSE,ns_both,-1.055895301900856,1.055895301900856
FBgn0038299,-0.307221088744384,0.911790615770718,0.741223159309051,0.884217340103571,FALSE,FALSE,FALSE,ns_both,1.048444248053435,1.048444248053435
FBgn0035409,-0.20076821588076,0.790024373269422,0.823838373283227,0.449820062695619,FALSE,FALSE,FALSE,ns_both,1.0246065891639868,1.0246065891639868
FBgn0050411,0.246470639892842,0.784227109256159,-0.776549758441735,0.540907616947462,FALSE,FALSE,FALSE,ns_both,-1.023020398334577,1.023020398334577
FBgn0052857,-1.01543320106064,0.244755217494407,0,1,FALSE,FALSE,FALSE,ns_both,1.01543320106064,1.01543320106064
FBgn0033302,0.793301887911563,0.00546995447272653,-0.206621425708895,1,FALSE,TRUE,FALSE,sig_only_Tutorial,-0.9999233136204579,0.9999233136204579
FBgn0032181,-0.90020168433915,0.676340085600919,0.0477214801329108,1,FALSE,FALSE,FALSE,ns_both,0.9479231644720608,0.9479231644720608
FBgn0036787,-0.645645119738001,0.764625922710368,0.284269429521169,0.985105261151432,FALSE,FALSE,FALSE,ns_both,0.92991454925917,0.92991454925917
FBgn0052523,-0.0924913150318505,0.96984148241902,0.837283254110305,0.307481548618021,FALSE,FALSE,FALSE,ns_both,0.9297745691421555,0.9297745691421555
FBgn0036044,0.566600396010864,0.238113338859674,-0.362699514077143,0.962682150261417,FALSE,FALSE,FALSE,ns_both,-0.929299910088007,0.929299910088007
FBgn0001223,0.910389979776312,1.8370688743698e-4,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,-0.910389979776312,0.910389979776312
FBgn0052212,-0.282229697148334,0.244682761890213,0.620984010644474,0.996776972122447,FALSE,FALSE,FALSE,ns_both,0.903213707792808,0.903213707792808
FBgn0266487,0.862017711755322,5.09657396233215e-6,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,-0.862017711755322,0.862017711755322
FBgn0029746,0.856761616718025,0.116128770511339,0,1,FALSE,FALSE,FALSE,ns_both,-0.856761616718025,0.856761616718025
FBgn0085289,0.843683559938297,0.211338979615415,0,1,FALSE,FALSE,FALSE,ns_both,-0.843683559938297,0.843683559938297
FBgn0038302,0.339338262985143,0.287549725972299,-0.498711640476524,0.533548104591316,FALSE,FALSE,FALSE,ns_both,-0.8380499034616671,0.8380499034616671
FBgn0045852,0.790315328391141,0.532995272249142,-0.0409705311276853,1,FALSE,FALSE,FALSE,ns_both,-0.8312858595188264,0.8312858595188264
FBgn0038200,0.242556542778556,0.870966043785123,-0.5809109797333,0.820617523399189,FALSE,FALSE,FALSE,ns_both,-0.823467522511856,0.823467522511856
FBgn0014865,-0.687892678881917,0.840478185659294,0.134662559025014,1,FALSE,FALSE,FALSE,ns_both,0.822555237906931,0.822555237906931
FBgn0266491,-0.821836981280181,0.0869422281387585,0,1,FALSE,FALSE,FALSE,ns_both,0.821836981280181,0.821836981280181
FBgn0040092,0.288520784701518,0.709220953619284,-0.520650771505364,0.613611606977937,FALSE,FALSE,FALSE,ns_both,-0.809171556206882,0.809171556206882
FBgn0264605,0.773539920920148,2.12008722697597e-8,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,-0.773539920920148,0.773539920920148
FBgn0266445,-0.765809322461627,0.164711734053187,0,1,FALSE,FALSE,FALSE,ns_both,0.765809322461627,0.765809322461627
FBgn0036382,0.601728584379729,0.189013209243459,-0.137608338138848,1,FALSE,FALSE,FALSE,ns_both,-0.739336922518577,0.739336922518577
FBgn0030108,0.11317638868992,0.944421282238318,-0.624051652579786,0.810620400687733,FALSE,FALSE,FALSE,ns_both,-0.737228041269706,0.737228041269706
FBgn0013263,-0.16156998995273,0.419027530808915,0.570081313808304,0.112765283261541,FALSE,FALSE,FALSE,ns_both,0.7316513037610339,0.7316513037610339
FBgn0261704,0.719360465002632,3.34697591524225e-8,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,-0.719360465002632,0.719360465002632
FBgn0263083,-0.609647668873312,0.767586398197738,0.103172811156251,1,FALSE,FALSE,FALSE,ns_both,0.712820480029563,0.712820480029563
FBgn0261015,-0.0831800341198404,0.886518591198504,0.62524526781428,0.169605709933771,FALSE,FALSE,FALSE,ns_both,0.7084253019341205,0.7084253019341205
FBgn0260474,-0.395394630379397,0.859467206974024,0.303139592620708,0.986409372514425,FALSE,FALSE,FALSE,ns_both,0.698534223000105,0.698534223000105
FBgn0266170,0.696536770889823,0.795650974475419,0,1,FALSE,FALSE,FALSE,ns_both,-0.696536770889823,0.696536770889823
FBgn0030641,-0.0949289394119101,0.825473390736149,0.598862070654695,0.783596321922852,FALSE,FALSE,FALSE,ns_both,0.693791010066605,0.693791010066605
FBgn0030614,0.666940378294733,0.212095330124298,0,1,FALSE,FALSE,FALSE,ns_both,-0.666940378294733,0.666940378294733
FBgn0002709,0.27037603780547,0.711562386456872,-0.395865831448938,1,FALSE,FALSE,FALSE,ns_both,-0.666241869254408,0.666241869254408
FBgn0037912,-0.0489270404761608,0.874184602996742,0.616888519191828,0.695264468052278,FALSE,FALSE,FALSE,ns_both,0.6658155596679888,0.6658155596679888
FBgn0031476,-0.175947471292278,0.906243782161253,0.488817970539891,1,FALSE,FALSE,FALSE,ns_both,0.664765441832169,0.664765441832169
FBgn0004644,-0.645969467282276,0.737588830835911,0.00951162833933783,1,FALSE,FALSE,FALSE,ns_both,0.6554810956216138,0.6554810956216138
FBgn0263251,-0.652506230190735,0.00316682636465326,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,0.652506230190735,0.652506230190735
FBgn0050398,-0.650489184385446,0.384643466586291,0,1,FALSE,FALSE,FALSE,ns_both,0.650489184385446,0.650489184385446
FBgn0000337,0.552015543778601,0.6431543366087,-0.0965867706135909,1,FALSE,FALSE,FALSE,ns_both,-0.6486023143921918,0.6486023143921918
FBgn0038107,-0.63718203023192,4.2999917093722e-4,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,0.63718203023192,0.63718203023192
FBgn0265083,-0.63718203023192,4.2999917093722e-4,0,1,FALSE,TRUE,FALSE,sig_only_Tutorial,0.63718203023192,0.63718203023192
FBgn0038109,0.636535865732802,0.675994315474861,0,1,FALSE,FALSE,FALSE,ns_both,-0.636535865732802,0.636535865732802
FBgn0000392,-0.62169376175773,0.507077543648615,0,1,FALSE,FALSE,FALSE,ns_both,0.62169376175773,0.62169376175773
FBgn0033404,0.617617026579843,0.77328458989047,0,1,FALSE,FALSE,FALSE,ns_both,-0.617617026579843,0.617617026579843
FBgn0051089,-0.615729338285114,0.442870802503924,0,1,FALSE,FALSE,FALSE,ns_both,0.615729338285114,0.615729338285114
FBgn0032448,0.613278619450056,0.353405867976559,0,1,FALSE,FALSE,FALSE,ns_both,-0.613278619450056,0.613278619450056
FBgn0051798,0.602008363503525,0.447047662088797,0,1,FALSE,FALSE,FALSE,ns_both,-0.602008363503525,0.602008363503525
FBgn0010385,-0.158467359759247,0.96013495023279,0.434733587697441,0.953024848540436,FALSE,FALSE,FALSE,ns_both,0.593200947456688,0.593200947456688
FBgn0039565,-0.592835247697288,0.0795451132211527,0,1,FALSE,FALSE,FALSE,ns_both,0.592835247697288,0.592835247697288
FBgn0266745,0.12972307554207,0.860132912054328,-0.462783597673093,0.937383954459551,FALSE,FALSE,FALSE,ns_both,-0.592506673215163,0.592506673215163
FBgn0264897,0.589916530761694,0.490239531779528,0,1,FALSE,FALSE,FALSE,ns_both,-0.589916530761694,0.589916530761694
FBgn0034870,-0.192097527483539,0.902308981088188,0.396820801016666,0.82880242016426,FALSE,FALSE,FALSE,ns_both,0.588918328500205,0.588918328500205
FBgn0037731,-0.587587977905748,0.928984378727328,0,1,FALSE,FALSE,FALSE,ns_both,0.587587977905748,0.587587977905748
FBgn0259991,-0.578509269150381,0.0128263177888231,0,1,FALSE,FALSE,FALSE,ns_both,0.578509269150381,0.578509269150381
FBgn0058439,0.498872089938103,0.157282332655837,-0.066489096014785,1,FALSE,FALSE,FALSE,ns_both,-0.565361185952888,0.565361185952888
FBgn0037662,0.363831581677486,0.780473018366355,-0.193529628557915,1,FALSE,FALSE,FALSE,ns_both,-0.5573612102354011,0.5573612102354011
FBgn0050503,-0.552204805713473,0.619330075991643,0,1,FALSE,FALSE,FALSE,ns_both,0.552204805713473,0.552204805713473
FBgn0083952,0.526495706110241,0.78543393998794,-0.022546766645325,1,FALSE,FALSE,FALSE,ns_both,-0.549042472755566,0.549042472755566
FBgn0026063,-0.546065609174043,0.540662243563318,0,1,FALSE,FALSE,FALSE,ns_both,0.546065609174043,0.546065609174043
FBgn0264776,-0.218728234899735,0.915014286340549,0.326673995841073,0.934410799786547,FALSE,FALSE,FALSE,ns_both,0.545402230740808,0.545402230740808
FBgn0085342,-0.542151483427938,0.302564459356942,0,1,FALSE,FALSE,FALSE,ns_both,0.542151483427938,0.542151483427938
FBgn0034642,0.0220627248945932,0.960512431222844,-0.515108422711272,1,FALSE,FALSE,FALSE,ns_both,-0.5371711476058652,0.5371711476058652
FBgn0037837,0.436841310208425,0.445701565218244,-0.0921463214189727,1,FALSE,FALSE,FALSE,ns_both,-0.5289876316273977,0.5289876316273977
FBgn0259730,-0.524006736323778,0.00244173431416413,0,1,FALSE,FALSE,FALSE,ns_both,0.524006736323778,0.524006736323778
FBgn0259731,-0.524006736323778,0.00244173431416413,0,1,FALSE,FALSE,FALSE,ns_both,0.524006736323778,0.524006736323778
